Transaction_ID,Customer_Name,Product,Total_Items,Total_Cost
1000000000,Cheyenne Newman,['Hair Gel'],6,12.77
1000000001,Emily Fitzgerald,"['Tuna', 'Bread', 'Tissues', 'Trash Bags']",5,13.88
1000000002,Michael Webb,"['Jam', 'Soap', 'Ketchup']",7,47.02
1000000003,Kimberly Lin,['BBQ Sauce'],9,83.86
1000000004,Cathy Hernandez,"['Hand Sanitizer', 'Bread', 'Extension Cords', 'Ice Cream', 'Hand Sanitizer']",4,30.55
1000000005,Elizabeth Cook,"['Shower Gel', 'Baby Wipes', 'Banana', 'Paper Towels']",10,30.19
1000000006,Kara Bradley,"['Cereal', 'Tuna']",3,5.57
1000000007,Carla Hernandez,"['Iron', 'Extension Cords', 'Eggs', 'Iron', 'Tuna']",1,7.15
1000000008,Christopher Wang,"['Banana', 'Pickles']",2,20.04
1000000009,Alisha Hudson,"['Ketchup', 'Razors', 'Lawn Mower']",3,88.79
1000000010,Samantha Mcclure,"['Shrimp', 'Soda']",3,28.43
1000000011,Shari Thomas,"['Soap', 'Vacuum Cleaner', 'Shower Gel', 'Mayonnaise']",9,69.48
1000000012,David Randolph,"['BBQ Sauce', 'Soda', 'Lawn Mower']",9,21.29
1000000013,Maria Munoz,"['Ironing Board', 'Laundry Detergent', 'Deodorant', 'Cereal']",2,47.49
1000000014,Christopher Barnett,"['Lawn Mower', 'Tea']",8,15.67
1000000015,Jonathan Roach,['Syrup'],9,43.35
1000000016,Alexander Hall,"['Tea', 'Spinach', 'Mustard', 'Cleaning Rags', 'Peanut Butter']",9,5.3
1000000017,Bryan Smith,"['Tuna', 'Bath Towels', 'Potatoes']",8,64.76
1000000018,Kayla Sanchez,"['Syrup', 'Yogurt', 'Eggs']",5,78.64
1000000019,Adam Foster,['Eggs'],1,60.29
1000000020,Nancy Mcdonald,"['Eggs', 'Razors', 'Peanut Butter', 'Toothpaste', 'Cheese']",7,98.81
1000000021,Mary Chandler,"['Shrimp', 'Milk', 'Dish Soap']",4,16.62
1000000022,Kimberly Baird,"['Cereal', 'Water', 'Bread', 'Laundry Detergent']",5,28.99
1000000023,Jonathan Campbell,"['Insect Repellent', 'Soda', 'Laundry Detergent']",4,93.1
